Código,Descripción
a0,¿Fue parte del proyecto Inclusión Digital?
a1,¿Cuál es su sexo?
a2,¿Cuántos años tiene?
a3,¿En qué departamento se encuentra la unidad educativa de la cual es profesor?   
a4,¿En qué ciudad se encuentra la unidad educativa de la cual es profesor?
a40,¿Cuál es la Unidad Educativa donde imparte clases?
b1[b11],¿Cuál es el nivel de instrucción adquirido? [Profesor Normalista]
b1[b12],¿Cuál es el nivel de instrucción adquirido? [Técnico]
b1[b13],¿Cuál es el nivel de instrucción adquirido? [Licenciatura]
b1[b14],¿Cuál es el nivel de instrucción adquirido? [Especialidad]
b1[b15],¿Cuál es el nivel de instrucción adquirido? [Maestría]
b1[b16],¿Cuál es el nivel de instrucción adquirido? [Doctorado]
b1[other],¿Cuál es el nivel de instrucción adquirido? [Otro]
b2,¿Cuántos años de experiencia tiene como Profesor en toda su vida laboral?
b3,¿Cuánto tiempo es profesor de la Unidad Educativa que actualmente imparte clases?
b4,¿Cuántos años es profesor de la Unidad Educativa que actualmente imparte clases?
b6,¿Cúal es el área en la que imparte sus clases?
b71[b711],"¿Qué materias imparte en el área de Ciencia, Tecnología y Producción? [Matemática]"
b71[b712],"¿Qué materias imparte en el área de Ciencia, Tecnología y Producción? [Técnica tecnológica (labores -Manualidades)]"
b72[b721],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Ciencias Naturales]"
b72[b722],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Geografía]"
b72[b723],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Biología]"
b72[b724],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Física]"
b72[b725],"¿Qué materias imparte en el área de Vida, Tierra y Territorio? [Química]"
b73[b731],¿Qué materias imparte en el área de Comunidad y Sociedad? [Comunicación y Lenguajes (Castellana-Originaria)]
b73[b732],¿Qué materias imparte en el área de Comunidad y Sociedad? [Comunicación y Lenguajes (Lengua extranjera)]
b73[b733],¿Qué materias imparte en el área de Comunidad y Sociedad? [Ciencias Sociales]
b73[b734],¿Qué materias imparte en el área de Comunidad y Sociedad? [Artes Plásticas y visuales]
b73[b735],¿Qué materias imparte en el área de Comunidad y Sociedad? [Educación musical]
b74[b741],"¿Qué materias imparte en el área de Cosmos y Pensamiento? [Valores, espiritualidad y religiones o educación física ]"
b74[b742],¿Qué materias imparte en el área de Cosmos y Pensamiento? [Cosmovisión y filosofÍa]
b8,¿Pasó algún tipo de curso o capacitación respecto al uso de tecnologías en aula?
b9, ¿Cuál es el curso o capacitación respecto a tecnologías en el aula?
c1, ¿Tienen computadora en su casa?
c2, ¿Es una computadora de escritorio o una laptop?
c3, ¿Cuántas computadoras (escritorio o portátil) tiene?
c4, ¿Tienen tabletas en su casa?
c5, ¿Cuántas tabletas tiene en casa?
c6,¿La computadora de donde fue obtenida?
c6[other],¿La computadora de donde fue obtenida? [Otro]
c9[c31],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Llenado de formularios y planillas (MINEDU)]"
c9[c32],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Juegos]"
c9[c33],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Estudio]"
c9[c34],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Música]"
c9[c35],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Redes Sociales]"
c9[c36],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Ningún uso]"
c9[c37],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Planificar clases]"
c9[c38],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Uso en clases]"
c9[c39],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Vídeos]"
c9[c40],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Internet]"
c9[other],"¿Cuál es el uso que le da a la computadora de escritorio, portátil o tablet?  [Otro]"
c10, ¿Alguna vez utilizó una computadora KUAA?
d1,¿Tiene Teléfono celular?
d2,¿El celular con el que cuenta es inteligente (smartphone)?
d3[d31], ¿Qué uso le da al celular?  [Llamadas]
d3[d32], ¿Qué uso le da al celular?  [Música]
d3[d33], ¿Qué uso le da al celular?  [Juegos]
d3[d34], ¿Qué uso le da al celular?  [Fotos]
d3[d35], ¿Qué uso le da al celular?  [Uso de Redes Sociales]
d3[d36], ¿Qué uso le da al celular?  [Mensajes de texto]
d3[d37], ¿Qué uso le da al celular?  [Vídeos]
d3[d38], ¿Qué uso le da al celular?  [Internet]
d3[other], ¿Qué uso le da al celular?  [Otro]
d4, ¿Deja usar los celulares a sus estudiantes?
e1, ¿Tienes acceso a internet en tu casa?
e2,¿Tiene acceso a internet en su celular móvil?
e3, ¿Tienes acceso a internet en el colegio?
e4, ¿La última semana utilizaste internet para buscar información?
e5,¿Utiliza internet (fijo o móvil) en general para cualquier actividad?
e6[e41],¿Para que utilizas el internet? [Contactar amigos/familia]
e6[e42],¿Para que utilizas el internet? [Fines académicos]
e6[e43],¿Para que utilizas el internet? [Descargar archivos]
e6[e44],¿Para que utilizas el internet? [Redes sociales]
e6[e45],¿Para que utilizas el internet? [Buscar información]
e6[e46],¿Para que utilizas el internet? [Trabajo]
e6[e47],¿Para que utilizas el internet? [Jugar]
e6[e48],¿Para que utilizas el internet? [Correo electrónico]
e6[e49],¿Para que utilizas el internet? [Compras o ventas por Internet]
e6[e4101],¿Para que utilizas el internet? [Ver noticias]
e6[e4102],¿Para que utilizas el internet? [Música o ver vídeos]
e6[other],¿Para que utilizas el internet? [Otro]
e7,¿Qué tipo de conexión usas con mayor frecuencia?
e8,¿De qué lugar accedes a internet con mayor frecuencia? Marcar máximo dos
e8[other],¿De qué lugar accedes a internet con mayor frecuencia? Marcar máximo dos [Otro]
e9[e71],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Google Académico]
e9[e72],"De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Buscadores (Google, yahoo u otros)]"
e9[e73],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Photoshop ]
e9[e74],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Google Drive]
e9[e75],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Correo electrónico]
e9[e76],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Wikis]
e9[e77],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Soundcloud]
e9[e78],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Prezi]
e9[other],De los siguientes sitios web o aplicaciones en internet ¿Cuáles utilizas? [Otro]
e10[e81],De las siguientes redes sociales ¿cuáles utiliza? [Facebook]
e10[e82],De las siguientes redes sociales ¿cuáles utiliza? [You Tube]
e10[e83],De las siguientes redes sociales ¿cuáles utiliza? [WhatsApp]
e10[e84],De las siguientes redes sociales ¿cuáles utiliza? [Messenger]
e10[e85],De las siguientes redes sociales ¿cuáles utiliza? [Instagram]
e10[e86],De las siguientes redes sociales ¿cuáles utiliza? [Twitter]
e10[e87],De las siguientes redes sociales ¿cuáles utiliza? [LinkedIn]
e10[e88],De las siguientes redes sociales ¿cuáles utiliza? [Skype]
e10[e89],De las siguientes redes sociales ¿cuáles utiliza? [Snapchat]
e10[e90],De las siguientes redes sociales ¿cuáles utiliza? [Telegram]
e10[e91],De las siguientes redes sociales ¿cuáles utiliza? [Tic Toc]
e10[e92],De las siguientes redes sociales ¿cuáles utiliza? [Vimeo]
e10[e93],De las siguientes redes sociales ¿cuáles utiliza? [Line]
e10[other],De las siguientes redes sociales ¿cuáles utiliza? [Otro]
e11,¿Cuántos días a la semana utiliza internet?
f1[f11],"¿Sabe... [elaborar, copiar o desplazar texto en un documento y/o buscar, copiar y mover archivos?]"
f1[f12],¿Sabe... [enviar y abrir correos electrónicos con archivos adjuntos?]
f1[f13],¿Sabe... [conectar o instalar nuevos dispositivos y/o transferir archivos entre la computadora y otro dispositivo?]
f1[f14],"¿Sabe... [buscar, instalar y configurar programas y/o aplicaciones desde su celular ?]"
f1[f15],"¿Sabe... [buscar, instalar y configurar programas y/o aplicaciones desde su computadora ?]"
f1[f16],¿Sabe... [conectarse a una red wifi desde una laptop?]
f1[f17],¿Sabe... [conectarse a una red wifi desde un teléfono móvil?]
g1,¿Qué sistema operativo utilizas en tu computadora?
g1[other],¿Qué sistema operativo utilizas en tu computadora? [Otro]
g2, ¿Sabes que es el Software Libre?
g21,¿Del 1 al 5 cuánto se autocalifica en el uso de software libre?
g3[g31], De los programas que menciono a continuación ¿Cuáles utilizas? [Writer (Procesador de texto)]
g3[g32], De los programas que menciono a continuación ¿Cuáles utilizas? [Calc (Hoja de cálculo)]
g3[g33], De los programas que menciono a continuación ¿Cuáles utilizas? [Draw (Editor gráfco)]
g3[g34], De los programas que menciono a continuación ¿Cuáles utilizas? [Gimp (Edición de imágenes)]
g3[g35], De los programas que menciono a continuación ¿Cuáles utilizas? [Freemind (Mapas mentales)]
g3[g36], De los programas que menciono a continuación ¿Cuáles utilizas? [Audacity (Editor de audio)]
g3[g37], De los programas que menciono a continuación ¿Cuáles utilizas? [Openshot (Editor de vídeo)]
g3[g38], De los programas que menciono a continuación ¿Cuáles utilizas? [Wordpress (Sistema para crear sitios web)]
g3[g39], De los programas que menciono a continuación ¿Cuáles utilizas? [Sozi (Presentaciones)]
g3[g40], De los programas que menciono a continuación ¿Cuáles utilizas? [Inkscape (Edición de imágenes vectoriales)]
g3[g41], De los programas que menciono a continuación ¿Cuáles utilizas? [Ninguno]
g3[other], De los programas que menciono a continuación ¿Cuáles utilizas? [Otro]
h1, ¿Sabes qué son las licencias libres?
h2, ¿Sabes lo que es el conocimiento libre?
h3, ¿Sabes qué son los datos abiertos?
h4, ¿Sabe de algún método a seguir para la enseñanza en TIC en aulas?
h5, ¿Qué métodos?
h6, ¿Implementa este método?
h7, ¿Cuenta con algún tipo de certificado que acredite la capacitacación en alguno de estos métodos?
i1, En su unidad educativa ¿Existe un aula específica equipada para el uso de computadoras?
i2, En su unidad educativa ¿Existe un aula específica equipada para el uso de las KUAA?
i3,  ¿Utilizó alguna vez las KUAA para desarrollar sus clases?
i4,   ¿Cuándo fue la última vez que utilizó en su aula o en un ambiente específico las KUAA para dar su clase?
i5,  ¿Tiene conocimiento qué otro profesor o profesora ha utilizado las KUAA en la Unidad Educativa en la que trabaja?
i6,  Usted cómo profesor ¿Tuvo acceso a Internet en alguna de las aulas en la cual imparte clases?
j11[SQ001], [¿Usted ha incorporado las KUAA u otras herrmaientasTIC como  medios para desarrollar el proceso de enseñanza y aprendizaje?]
j11[SQ002]," [¿Usted ha considerado el desarrollo de los momentos metodológicos   (Práctica-Teoría-Valoración y Producción), articulado al uso de las KUAA u otras herramientas TIC, para el desarrollo del proceso de enseñanza-aprendizaje?]"
j11[SQ003]," [Usted ha  considerado, los intereses, motivaciones, y el conocimiento que tenían sus estudiantes sobre el uso de las KUAA u otras herramientas TIC, para el diseño del proceso de enseñanza-aprendizaje.]"
j11[SQ004]," [Al concebir la planificación de su clase, ¿Usted alguna vez ha partido del objetivo para definir el uso que se podría dar a la KUAA u otras herramientas TIC, que se utilizarían por estudiante para aprender?  ]"
j11[SQ005]," [Pensó en integrar las KUAA u otras herramientas TIC, al proceso de enseñanza- aprendizaje de los estudiantes mediante el uso de metodologías activas, como el Aprendizaje basado en Problema, Aprendizaje basado en proyecto, Aprendizaje basado en estudio de Caso,  Aprendizaje basado en Retos. ]"
j11[SQ006], [Para integrar las KUAA u otras herramienta TIC en las clases recabó o recabaría información del director]
j11[SQ007], [Para integrar las KUAA u otras herramienta TIC en las clases recabó o recabaría información del responsable de la comisión pedagógica.]
j11[SQ008], [Para integrar las KUAA u otras herramienta TIC en las clases recabó o recabaría información de otros maestros.]
j2, Usted se encuentra en la posibilidad de brindar 20 minutos de su clase para la enseñanza de herramientas de software libre para la generación de contenidos por parte de los estudiantes
k1[k12]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Vídeos ]"
k1[k13]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Presentaciones o infografías u otro material gráfico]"
k1[k14]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Textos en linea]"
k1[k15]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Textos impresos]"
k1[k16]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Ninguno]"
k1[other]," ¿Mediante qué objetos de aprendizaje se preparan sus estudiantes, para asistir a sus clases presenciales en el aula?  [Otro]"
k2[k21]," Los recursos digitales, como vídeos , infografías u otros que usted utiliza en sus clases, mayormente son... [Del internet]"
k2[k22]," Los recursos digitales, como vídeos , infografías u otros que usted utiliza en sus clases, mayormente son... [Elaborados por mi]"
k2[k23]," Los recursos digitales, como vídeos , infografías u otros que usted utiliza en sus clases, mayormente son... [Otras fuentes]"
k2[k24]," Los recursos digitales, como vídeos , infografías u otros que usted utiliza en sus clases, mayormente son... [Trabajo compartido entre los maestros de la Unidad Educativa]"
k2[k25]," Los recursos digitales, como vídeos , infografías u otros que usted utiliza en sus clases, mayormente son... [Ninguno]"
k3," Cuando usted orienta en sus clases o actividades para la casa sobre la visualización de un vídeo, analizar una infografía, o escuchar un audio, entrega a sus estudiantes una guía de estudio o de preguntas que le permitan orientarse en cómo recuperar o comprender esta información?"
k4," En el desarrollo del proceso de enseñanza- aprendizaje, usted utiliza vídeos, presentaciones o infografías para que el estudiante pueda consultar y fortalecer los conocimientos del contenido avanzado en clases."
k5, ¿De qué manera lleva usted normalmente el desarrollo de su clase?
k6," Integra las KUAA u otras herramientas TIC en sus clases, para que el estudiante logre identificar, localizar, recuperar, almacenar, organizar y analizar la información digital, evaluando su finalidad y relevancia."
k7," Integra las KUAA u otras herramientas TIC, para que el estudiante logre crear, a partir de los contenidos que estudia, vídeos, presentaciones, infografías o audios."
k8, Integra las KUAA u otras herramientas TIC para que el estudiante logre comunicarse en entornos digitales y compartir recursos a través de herramientas en línea.
l1[l11], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Mobiliario]
l1[l12], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Cableado de Red para la interconexión de las computadoras]
l1[l13], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Medidas de seguridad]
l1[l14], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Equipo de computación]
l1[l15], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Acceso a Internet]
l1[other], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Otro]
l2, ¿Sabe de lo que trata el proyecto Inclusión Digital?
l3," Describa brevemente acerca del ""Proyecto Inclusión Digital"""
m1,¿Como califica la capacitación brindada por el proyecto Inclusión Digital?
m2,¿Por qué?
m3,¿Cree que el uso de tecnologías puede ser útil para el Proceso de Educación y Aprendizaje?
m4,¿Por qué?
m5,¿Cree que el uso de tecnologías y herramientas de software libre mejoró el aprendizaje de los estudiantes?
m6,¿Por qué?
m7,¿Cómo califica la labor de los voluntarios en el aula?
m71,¿Por qué?
m8,Con fases de capacitación mas intensivas ¿usted cree que puede adecuar sus futuras clases a este nuevo modelo de enseñanza aprendizaje que incorpora las TIC?
m9,¿Por qué?
m10,Tiene alguna recomendación u observación para el proyecto Inclusión Digital.
